Feature ID	Taxon	Confidence
848a66e61170ade5b78ea9427a384da4	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae	0.9555986112014869
2f064f9ca2fc08a9e4f2a9254b5f187a	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Dietziaceae; g__Dietzia	0.9984075157015988
57a29f05d06937495ff7a0b91ae1117b	d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Atopobiaceae; g__Atopobium	0.7587789036056096
16af13eb625d3e5649ae8b95cd821496	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas	0.996701281839759
c1b85b3ed3aae238631c52eaf52c6641	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Ralstonia	0.9957774606163474
dde0f19ff96eb51e04ac87117297a371	d__Bacteria	0.9629325384227773
d7f8a76a28a21346173cad3426456762	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Undibacterium; s__Undibacterium_squillarum	0.8993589287108785
5683f7558d3fe8aa65ef40482d0b9391	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas	0.9990317467908136
edbe26c8df2e3368ee6db91a18d2c188	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Herbaspirillum; s__Herbaspirillum_aquaticum	0.9120568882615833
dd56a1e10fda9117f780b060638cbace	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	0.9986909514273423
d9433b88b6f5f0a3699de06e54c724ea	Unassigned	0.8792372553283065
ed267c34173fc0841f3ec21e416c81c0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus	0.9967642119857334
d301218379ac193b260cc7bf74a98e04	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Azospirillales; f__Azospirillaceae; g__Skermanella	0.8150029046242032
f0ffaecd3a115f6a3ce2e63496a30a41	d__Bacteria	0.8373719876093095
e8736e8de74324208009867563209298	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	0.9475792440941645
80147a9b330b66416bf8022d73d766f8	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Neisseriaceae; g__Uruburuella; s__Uruburuella_suis	0.9319681480948725
cb9d793b490ef369cd7b12a0279fa5ea	d__Bacteria	0.8441122256787194
500b6d627c6cf14eb16578356a6d8b1c	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae	0.9997665990078265
d9c91e5aaa118d24403a90e0813918e3	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.9995637923788391
ae77368cb943ca475307e8381316f7b9	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Dietziaceae; g__Dietzia	0.9988760461751068
d5e22a17b4585d5f01131108542fb0a0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Dermabacteraceae; g__Brachybacterium	0.8110555156864109
3110b20b2198f8c2b42dfc242ee68625	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__Adhaeribacter	0.9954867363098602
9f91b477e9889b98c9f6c93408228465	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_amnii	0.9971081600350971
40178a3e26cfdf84c6e6645ef84dc543	Unassigned	0.30711240887744606
06aec3ee0f301a1735e2eaec71f8e3a2	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Gardnerella	0.9998370728590271
bd97b8138e0372d421768794f4783d26	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Salinivibrio	0.8371615027252415
0ca9a6a33d7f69dd36df98a0a862c8b0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Geodermatophilaceae	0.7220071347572032
cd7af5e934bf77dc3c7519099f05dd9e	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Gardnerella; s__uncultured_bacterium	0.778536401945813
69fc9872a63d383ad976d99530166e92	d__Bacteria	0.8642117521174183
982370a35f3607034bc5ca1f1662d821	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	0.972504200592703
b1cf9480266eec6204f17751c70a5479	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Aggregatibacter	0.9994457849663566
b94c7d97393f76c2d99c9614619c77e0	d__Bacteria	0.9097183009570308
882361eeebeabde29ede0629b2dab81e	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Geobacillus	0.9995343506675777
b338e2da2f5be4f5eecba8f65590185f	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Cloacibacterium	0.8372965008456624
f545bc48ec8ea1ef0d729204cdbbf178	d__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter	0.9985174365066672
d92e5086970d3b74da88cea86368de5e	Unassigned	0.7405816785206105
286dd2066487a6a400552dfdb2431e43	d__Bacteria; p__Actinobacteriota; c__Actinobacteria	0.999728471533192
6c60f2f0a9357744c934f110a1e0f3df	Unassigned	0.7094629736653271
b27264c917943beba81c196185cc65cd	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas	0.7588959544559317
